"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"spock1",0,0,7,23,0,0,19,0,26,12,7,4
"spock2",1,41,0,5,0,0,8,0,2,2,10,0
"spock3",11,17,74,101,67,101,70,19,283,135,130,100
"spon1a",0,0,15,1,0,0,4,2,43,0,4,2
"spon1b",1,40,48,2,0,0,5,38,529,2,9,9
"spop",1,29,2,4,0,0,4,1,13,1,1,1
"spopla",705,707,15,4,56,60,0,1,14,6,7,7
"spout1",22,43,0,0,0,0,1,3,7,0,0,1
"spp1",1,23,47,0,0,0,0,10,74,3,10,6
"sppl2",11,35,6,8,1,21,2,1,18,6,3,6
"sppl3",0,0,4,6,17,36,2,1,18,6,14,10
"spred1",1,32,2,0,0,0,2,1,15,2,0,4
"spred2a",2,41,1,0,0,0,7,12,7,6,0,1
"sprn",6,45,0,0,21,37,0,0,0,3,0,1
"sprtn",0,0,0,0,0,0,2,0,14,168,106,114
"spryd4",0,0,15,41,0,0,0,1,8,0,0,0
"spryd7b",0,0,12,0,0,0,5,0,37,9,8,5
"spsb1",0,0,2,1,5,42,4,2,25,1,7,5
"spsb3a",0,0,6,1,0,0,25,0,4,3,5,4
"spsb3b",307,325,294,534,41,55,1,0,5,0,0,1
"spsb4a",3,62,8,1,0,0,6,0,13,7,4,6
"sptb",0,0,1,1,0,0,8,17,164,1,1,7
"sptbn2",0,0,6,21,0,0,6,1,27,13,4,10
"sptlc1",0,0,1,0,0,0,3,3,17,1,5,0
"sptlc2b",0,0,10,3,0,0,2,2,33,1,2,5
"spty2d1",1,6,2,8,0,0,2,0,23,8,2,1
"sqlea",2,48,4,8,0,0,9,0,0,0,0,1
"sqor",1,7,3,1,0,0,7,1,71,8,5,16
"sqstm1",8,46,32,24,0,0,212,89,443,17,14,30
"src",1,28,3,2,0,0,0,1,17,0,0,2
"srd5a1",1,20,0,1,3,33,0,0,2,0,0,0
"srd5a3",2,18,0,0,1,33,0,0,3,2,0,0
