"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"sb:cb81",1.93326595201211,20.1357330394554,7.18653873370646,1.43096097406538,0,0,1.96185949845054,4.15901538030019,3.98624842775355,5.88944896613527,6.50320378471308,0
"sbds",100.52982950463,48.7496694639447,1.79663468342661,1.43096097406538,0,0,19.6185949845054,0,41.1912337534534,70.6733875936233,132.231810289166,94.7742454641215
"sbf1",48.3316488003029,29.1438241360539,6.28822139199315,20.0334536369153,0,0,13.7330164891538,37.4311384227017,31.2256126840695,12.6202477845756,3.25160189235654,9.5643733954618
"sbf2",0,0,4.49158670856653,0,0,0,9.80929749225271,4.15901538030019,21.9243663526445,5.88944896613527,7.58707108216526,0.869488490496527
"sbk3",7.73306380804846,14.8368559238092,0.898317341713307,0,0,0,5.88557849535163,0,4.65062316571248,0,1.08386729745218,0.869488490496527
"sbno1",5.79979785603634,20.1357330394554,2.69495202513992,3.57740243516345,0,0,5.88557849535163,0,17.938117924891,1.68269970461008,6.50320378471308,4.34744245248264
"sc5d",3777.60167023167,1056.59609685984,1416.64644788189,10840.9603395193,1165.87259258847,708.408480292835,457.113263138976,16.6360615212008,15.9449937110142,2644.36258579474,3006.64788313235,1661.59250533886
"scaf1",1.93326595201211,7.41842796190462,4.49158670856653,4.29288292219613,9.28128824473372,17.3205007406561,23.5423139814065,24.9540922818012,51.8212295607962,12.6202477845756,11.922540271974,9.5643733954618
"scaf11",0,0,11.678125442273,3.57740243516345,0,0,11.7711569907033,12.4770461409006,35.211861111823,7.57214867074535,5.4193364872609,11.3033503764549
"scamp1",0,0,1.79663468342661,0.715480487032689,0,0,11.7711569907033,8.31803076060038,3.98624842775355,5.04809911383024,5.4193364872609,6.08641943347569
"scamp3",0,0,6.28822139199315,2.86192194813076,0,0,3.92371899690109,4.15901538030019,31.8899874220284,0.841349852305039,1.08386729745218,1.73897698099305
"scamp4",17.399393568109,21.7253961741493,11.678125442273,6.4393243832942,0,0,1.96185949845054,0,7.30812211754818,3.36539940922016,4.33546918980872,6.08641943347569
"scap",9.66632976006057,28.0840487129246,0.898317341713307,2.86192194813076,0,0,58.8557849535163,45.7491691833021,32.5543621599873,5.88944896613527,4.33546918980872,1.73897698099305
"scara3",0,0,9.88149075884638,0.715480487032689,0,0,1.96185949845054,12.4770461409006,21.2599916146856,4.2067492615252,4.33546918980872,6.08641943347569
"scarb1",19.3326595201211,25.9644978666662,0,2.14644146109807,7.13945249594902,5.62916274071324,15.6948759876043,0,3.98624842775355,0,4.33546918980872,6.08641943347569
"scarb2a",1.93326595201211,16.4265190585031,2.69495202513992,0,0,0,3.92371899690109,0,0,2.52404955691512,2.16773459490436,4.34744245248264
"scarb2c",0,0,53.0007231610851,28.6192194813076,0,0,15.6948759876043,12.4770461409006,15.9449937110142,3.36539940922016,0,1.73897698099305
"scarf1",28.9989892801817,12.7173050775508,9.88149075884638,5.72384389626151,0,0,0,0,5.97937264163033,1.68269970461008,0,1.73897698099305
