gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class,MM,MM_pvalue,GS,GS_pvalue,supported_hub,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,supported_hub_rank
cnga3a,16.6158102651795,1.65886364177447,0.995215251244726,0.0264605082620218,0.0778117137667793,Mz_vs_rest,Not significant,Mz,cnga3a,cnga3a,CNG channel,FALSE,Not significant,cnga3a,cnga3a,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,No significant integrated evidence,0.6073510702179594,0.03621064630874683,0.4412868474443544,0.15098111208054563,FALSE,NA,NA,NA,NA,NA,NA
rgs9b,7.68153964835598,1.82608718140318,1.20992171548284,0.0308768618207062,0.0874341192678977,Mz_vs_rest,Not significant,Mz,rgs9b,rgs9b,Photoreceptor recovery,FALSE,Not significant,rgs9b,rgs9b,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant integrated evidence,0.8108663534767789,0.00137420123824021,0.21368326960393355,0.5048663551838395,FALSE,NA,NA,NA,NA,NA,NA
six6a,10.4056654647985,1.51348324469231,1.07325083641272,0.0517024757003414,0.132371810750711,Mz_vs_rest,Not significant,Mz,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant integrated evidence,0.8346634676877298,7.319975982543207e-4,0.3070089650908026,0.3317199952097286,FALSE,NA,NA,NA,NA,NA,NA
NR2E3,14.6707132277912,1.56009399274482,1.24958087760082,0.0660468920247162,0.159311705357294,Mz_vs_rest,Not significant,Mz,nr2e3,nr2e3,Photoreceptor regulation,FALSE,Not significant,nr2e3,NR2E3,magenta,-0.1179134727503532,0.8017544494121127,Mz lower,FALSE,No significant integrated evidence,0.8411326819374478,6.064935861507699e-4,0.19427497259873605,0.5451584267688876,FALSE,NA,NA,NA,NA,NA,NA
pde6c,46.0198659559165,1.35081095473487,1.11542552401553,0.0872162155041093,0.19594267770666,Mz_vs_rest,Not significant,Mz,pde6c,pde6c,Phototransduction,FALSE,Not significant,pde6c,pde6c,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant integrated evidence,0.6316700128101932,0.02757428254117904,0.0204468335498903,0.9497096590169832,FALSE,NA,NA,NA,NA,NA,NA
pde6ga,44.2251257177041,1.40189534750541,1.23693289887775,0.0939069635513971,0.207500447172605,Mz_vs_rest,Not significant,Mz,pde6ga,pde6ga,Phototransduction,FALSE,Not significant,pde6ga,pde6ga,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant integrated evidence,0.7864175227147054,0.00241482315585698,0.27383307268297813,0.3891017796860329,FALSE,NA,NA,NA,NA,NA,NA
cngb1b,11.1476521119874,-1.22811122983968,1.42959110923541,0.166928736862809,0.317360715348714,Mz_vs_rest,Not significant,Mz,cngb1b,cngb1b,CNG channel,FALSE,Not significant,cngb1b,cngb1b,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant integrated evidence,0.811099241795091,0.00136633239027895,-0.36023291861973766,0.2500414467330677,FALSE,NA,NA,NA,NA,NA,NA
crx,17.0648031336895,0.775262713826102,0.903381697047779,0.262158762239192,0.433934268904944,Mz_vs_rest,Not significant,Mz,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,-0.020672044733298416,0.9571324687642487,Mz lower,FALSE,No significant integrated evidence,0.8741666152692076,2.004027514146791e-4,0.07391974317527916,0.8194069511707333,FALSE,NA,NA,NA,NA,NA,NA
rgs9a,122.870403062682,-0.743793789355302,0.897259272598156,0.279940639635909,0.452132566463824,Mz_vs_rest,Not significant,Mz,rgs9a,rgs9a,Photoreceptor recovery,FALSE,Not significant,rgs9a,rgs9a,lightcyan,-0.2198590764560461,0.6154121671869206,Mz lower,FALSE,No significant integrated evidence,0.8415413456850518,5.991669698779859e-4,-0.24608087038820775,0.44071740644473545,FALSE,NA,NA,NA,NA,NA,NA
gnat1,412.150530066831,0.61806293356901,0.710676725210846,0.299173218113541,0.471278903104734,Mz_vs_rest,Not significant,Mz,gnat1,gnat1,Phototransduction,FALSE,Not significant,gnat1,gnat1,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant integrated evidence,0.7232496306987828,0.00785481997453543,0.07220863296955313,0.8235286817792562,FALSE,NA,NA,NA,NA,NA,NA
rcvrn3,74.7437159429161,0.68990256050492,0.852432714171672,0.301640830674311,0.473908580916636,Mz_vs_rest,Not significant,Mz,rcvrn3,rcvrn3,Photoreceptor recovery,FALSE,Not significant,rcvrn3,rcvrn3,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant integrated evidence,0.6618217617377714,0.01906256392763336,0.3012001039738516,0.34141649811987773,FALSE,NA,NA,NA,NA,NA,NA
opn1sw2,401.773466733748,0.673855832957807,0.975834678226038,0.349114043752219,0.520548907513471,Mz_vs_rest,Not significant,Mz,opn1sw2,opn1sw2,Opsin / photopigment,FALSE,Not significant,opn1sw2,opn1sw2,pink,-0.020672044733298416,0.9571324687642487,Mz lower,FALSE,No significant integrated evidence,0.931749630204717,1.0392555094901696e-5,-0.05996534020811445,0.8531342822274943,FALSE,NA,NA,NA,NA,NA,NA
nrl,6.12008102398229,0.654156352128914,0.989906867021341,0.366733174285808,0.537927465987873,Mz_vs_rest,Not significant,Mz,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant integrated evidence,0.8951299311329461,8.356969773234847e-5,0.07698545036531736,0.8120328047290248,FALSE,NA,NA,NA,NA,NA,NA
abca4b,21.5803179388603,0.616988520120601,0.934905437227988,0.379987724909572,0.550761976410028,Mz_vs_rest,Not significant,Mz,abca4b,abca4b,Visual cycle,FALSE,Not significant,abca4b,abca4b,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant integrated evidence,0.5546613325602683,0.06125076895870668,-0.04382019952589881,0.8924368484523937,FALSE,NA,NA,NA,NA,NA,NA
