Gene	Pn_2_Eye	Pn_3_Eye	Pn_4_Eye
ENSPNYG00000000509	59	106	59
ENSPNYG00000000510	3	7	34
ENSPNYG00000000511	0	1	1
ENSPNYG00000000512	0	0	1
ENSPNYG00000000513	0	0	0
ENSPNYG00000000514	2	0	0
ENSPNYG00000000515	0	0	0
ENSPNYG00000000516	7	4	9
ENSPNYG00000000517	0	1	0
ENSPNYG00000000518	5	1	0
ENSPNYG00000000519	0	1	0
ENSPNYG00000000520	1	0	0
ENSPNYG00000000521	0	1	0
ENSPNYG00000000522	1	6	0
ENSPNYG00000000523	0	0	0
ENSPNYG00000000524	0	7	0
ENSPNYG00000000525	0	0	0
ENSPNYG00000000526	2	5	1
ENSPNYG00000000527	0	0	0
ENSPNYG00000000528	0	0	0
ENSPNYG00000000529	0	0	0
ENSPNYG00000000530	8	3	12
ENSPNYG00000000531	2	0	0
ENSPNYG00000000532	0	0	0
ENSPNYG00000000533	35	30	28
ENSPNYG00000000534	8	6	8
ENSPNYG00000000535	0	3	2
ENSPNYG00000000536	0	0	0
ENSPNYG00000000537	9	7	6
ENSPNYG00000000538	0	0	0
ENSPNYG00000000539	1	1	0
ENSPNYG00000000540	0	0	0
ENSPNYG00000000541	0	0	0
ENSPNYG00000000542	2	3	6
ENSPNYG00000000543	0	0	0
ENSPNYG00000000544	0	1	0
ENSPNYG00000000545	0	0	0
ENSPNYG00000000546	0	0	0
ENSPNYG00000000547	2	2	2
ENSPNYG00000000548	2	2	1
ENSPNYG00000000549	1	2	4
ENSPNYG00000000550	1	0	1
ENSPNYG00000000551	4	2	2
ENSPNYG00000000552	0	0	0
ENSPNYG00000000553	5	2	2
ENSPNYG00000000554	0	0	0
ENSPNYG00000000555	2	4	0
ENSPNYG00000000556	0	0	0
ENSPNYG00000000557	34	24	58
ENSPNYG00000000558	7	6	5
ENSPNYG00000000559	2	1	1
ENSPNYG00000000560	19	5	7
ENSPNYG00000000561	0	0	0
ENSPNYG00000000562	0	0	0
ENSPNYG00000000563	0	0	0
ENSPNYG00000000564	1	5	3
ENSPNYG00000000565	0	0	0
ENSPNYG00000000566	0	0	0
ENSPNYG00000000567	0	0	0
ENSPNYG00000000568	285	883	939
ENSPNYG00000000569	1	0	0
ENSPNYG00000000570	0	0	0
ENSPNYG00000000571	0	0	0
ENSPNYG00000000572	0	0	0
ENSPNYG00000000573	0	0	0
ENSPNYG00000000574	0	0	0
ENSPNYG00000000575	1	0	0
ENSPNYG00000000576	2	0	3
ENSPNYG00000000577	0	0	0
ENSPNYG00000000578	1	2	1
ENSPNYG00000000579	7	2	5
ENSPNYG00000000580	0	1	0
ENSPNYG00000000581	0	0	0
ENSPNYG00000000582	15	7	17
ENSPNYG00000000583	0	0	0
ENSPNYG00000000584	3	1	0
ENSPNYG00000000585	1	0	0
ENSPNYG00000000586	1	1	2
ENSPNYG00000000587	0	1	0
ENSPNYG00000000588	0	0	0
ENSPNYG00000000589	0	0	1
ENSPNYG00000000590	0	0	0
ENSPNYG00000000591	1	0	0
ENSPNYG00000000592	0	0	0
ENSPNYG00000000593	9	12	9
ENSPNYG00000000594	892	1098	1240
ENSPNYG00000000595	0	1	1
ENSPNYG00000000596	2	1	1
ENSPNYG00000000597	0	0	0
ENSPNYG00000000598	0	1	1
ENSPNYG00000000599	0	0	0
ENSPNYG00000000600	20	20	10
ENSPNYG00000000601	0	0	0
ENSPNYG00000000602	0	0	0
ENSPNYG00000000603	1	4	3
ENSPNYG00000000604	1	0	1
ENSPNYG00000000605	0	0	0
ENSPNYG00000000606	0	0	1
ENSPNYG00000000607	1	0	3
ENSPNYG00000000608	0	0	0
ENSPNYG00000000609	3	4	3
ENSPNYG00000000610	0	2	0
ENSPNYG00000000611	0	0	0
ENSPNYG00000000612	0	0	0
ENSPNYG00000000613	0	0	0
ENSPNYG00000000614	0	0	0
ENSPNYG00000000615	6	7	20
ENSPNYG00000000616	5	6	7
ENSPNYG00000000617	0	0	0
ENSPNYG00000000618	1	1	0
ENSPNYG00000000619	139	2	5
ENSPNYG00000000620	0	0	0
ENSPNYG00000000621	2	0	0
ENSPNYG00000000622	4	3	4
ENSPNYG00000000623	0	0	0
ENSPNYG00000000624	1	2	4
ENSPNYG00000000625	0	0	0
ENSPNYG00000000626	0	0	0
ENSPNYG00000000627	0	0	0
ENSPNYG00000000628	0	0	0
ENSPNYG00000000629	0	0	0
ENSPNYG00000000630	0	0	0
ENSPNYG00000000631	1	0	0
ENSPNYG00000000632	0	1	0
ENSPNYG00000000633	0	0	1
ENSPNYG00000000634	1	2	9
ENSPNYG00000000635	0	0	0
ENSPNYG00000000636	2	0	3
ENSPNYG00000000637	0	0	0
ENSPNYG00000000638	0	0	0
ENSPNYG00000000639	0	0	0
ENSPNYG00000000640	1	0	1
ENSPNYG00000000641	0	0	0
ENSPNYG00000000642	0	0	0
ENSPNYG00000000643	0	0	2
ENSPNYG00000000644	0	0	0
ENSPNYG00000000645	0	0	0
ENSPNYG00000000646	0	0	0
ENSPNYG00000000647	0	0	0
ENSPNYG00000000648	0	0	0
ENSPNYG00000000649	3	0	1
ENSPNYG00000000650	0	0	0
ENSPNYG00000000651	0	0	0
ENSPNYG00000000652	0	0	0
ENSPNYG00000000653	1	0	1
ENSPNYG00000000654	5	2	9
ENSPNYG00000000655	7	3	5
ENSPNYG00000000656	0	0	0
ENSPNYG00000000657	1	2	5
ENSPNYG00000000658	0	0	3
ENSPNYG00000000659	0	0	0
ENSPNYG00000000660	0	0	0
ENSPNYG00000000661	2	0	0
ENSPNYG00000000662	0	0	0
ENSPNYG00000000663	4	17	8
ENSPNYG00000000664	0	0	0
ENSPNYG00000000665	0	1	0
ENSPNYG00000000666	1	0	0
ENSPNYG00000000667	1	1	0
ENSPNYG00000000668	9	1	2
ENSPNYG00000000669	0	0	0
ENSPNYG00000000670	0	0	0
ENSPNYG00000000671	1	0	0
ENSPNYG00000000672	12	1	0
ENSPNYG00000000673	36	2	7
ENSPNYG00000000674	0	0	2
ENSPNYG00000000675	0	4	2
ENSPNYG00000000676	4	5	5
ENSPNYG00000000677	19	16	9
ENSPNYG00000000678	145	118	75
ENSPNYG00000000679	0	0	0
ENSPNYG00000000680	1	0	0
ENSPNYG00000000681	0	0	0
ENSPNYG00000000682	3	0	0
ENSPNYG00000000683	0	0	4
ENSPNYG00000000684	2	0	3
ENSPNYG00000000685	0	0	1
ENSPNYG00000000686	0	1	2
ENSPNYG00000000687	0	0	0
ENSPNYG00000000688	0	0	0
ENSPNYG00000000689	2	2	0
ENSPNYG00000000690	1	0	0
ENSPNYG00000000691	0	1	0
ENSPNYG00000000692	0	0	0
ENSPNYG00000000693	0	0	0
ENSPNYG00000000694	8	5	7
ENSPNYG00000000695	0	0	0
ENSPNYG00000000696	0	0	0
ENSPNYG00000000697	0	0	0
ENSPNYG00000000698	2	0	0
ENSPNYG00000000699	0	0	0
ENSPNYG00000000700	0	0	0
ENSPNYG00000000701	5	1	8
ENSPNYG00000000702	6	10	15
ENSPNYG00000000703	0	0	0
ENSPNYG00000000704	0	0	0
ENSPNYG00000000705	0	0	0
ENSPNYG00000000706	3	2	0
ENSPNYG00000000707	0	0	1
ENSPNYG00000000708	0	0	0
ENSPNYG00000000709	15	9	4
ENSPNYG00000000710	1	0	6
ENSPNYG00000000711	1	0	0
ENSPNYG00000000712	1	2	13
ENSPNYG00000000713	0	0	0
ENSPNYG00000000714	1	1	1
ENSPNYG00000000715	4	3	7
ENSPNYG00000000716	0	0	0
ENSPNYG00000000717	4	4	3
ENSPNYG00000000718	0	0	0
ENSPNYG00000000719	3	5	6
ENSPNYG00000000720	2	3	4
ENSPNYG00000000721	1	1	0
ENSPNYG00000000722	16	7	1
ENSPNYG00000000723	0	0	0
ENSPNYG00000000724	12	14	13
ENSPNYG00000000725	43	26	51
ENSPNYG00000000726	0	0	0
ENSPNYG00000000727	0	5	1
ENSPNYG00000000728	10	2	16
ENSPNYG00000000729	3	7	2
ENSPNYG00000000730	0	4	0
ENSPNYG00000000731	10	13	28
ENSPNYG00000000732	1	5	3
ENSPNYG00000000733	3	0	4
ENSPNYG00000000734	0	0	1
ENSPNYG00000000735	0	0	0
ENSPNYG00000000736	0	0	1
ENSPNYG00000000737	4	0	9
ENSPNYG00000000738	0	0	0
ENSPNYG00000000739	3	1	4
ENSPNYG00000000740	3	4	6
ENSPNYG00000000741	0	0	0
ENSPNYG00000000742	0	0	0
ENSPNYG00000000743	0	0	0
ENSPNYG00000000744	12	6	2
ENSPNYG00000000745	6	3	5
ENSPNYG00000000746	14	1	3
ENSPNYG00000000747	4	0	5
ENSPNYG00000000748	0	0	0
ENSPNYG00000000749	1	1	0
ENSPNYG00000000750	4	3	1
ENSPNYG00000000751	0	0	0
ENSPNYG00000000752	18	10	45
ENSPNYG00000000753	0	0	1
ENSPNYG00000000754	0	0	0
ENSPNYG00000000755	6	2	0
ENSPNYG00000000756	28	17	29
ENSPNYG00000000757	15	6	6
ENSPNYG00000000758	1	0	0
ENSPNYG00000000759	1	0	0
ENSPNYG00000000760	1	0	0
ENSPNYG00000000761	1	5	0
ENSPNYG00000000762	1	4	0
ENSPNYG00000000763	0	0	0
ENSPNYG00000000764	1	2	5
ENSPNYG00000000765	3	1	6
ENSPNYG00000000766	0	0	0
ENSPNYG00000000767	910	663	997
ENSPNYG00000000768	1	5	0
