Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000325	0	0
ENSHBUG00000000326	0	0
ENSHBUG00000000327	3	50
ENSHBUG00000000328	0	0
ENSHBUG00000000329	5	31
ENSHBUG00000000330	1	48
ENSHBUG00000000331	0	0
ENSHBUG00000000332	0	0
ENSHBUG00000000333	0	0
ENSHBUG00000000334	0	0
ENSHBUG00000000335	1	35
ENSHBUG00000000336	1	40
ENSHBUG00000000337	0	0
ENSHBUG00000000338	228	236
ENSHBUG00000000339	0	0
ENSHBUG00000000340	0	0
ENSHBUG00000000341	0	0
ENSHBUG00000000342	0	0
ENSHBUG00000000343	0	0
ENSHBUG00000000344	4	47
ENSHBUG00000000345	0	0
ENSHBUG00000000346	0	0
ENSHBUG00000000347	0	0
ENSHBUG00000000348	0	0
ENSHBUG00000000349	0	0
ENSHBUG00000000350	2	39
ENSHBUG00000000351	0	0
ENSHBUG00000000352	0	0
ENSHBUG00000000353	3	48
ENSHBUG00000000354	0	0
ENSHBUG00000000355	0	0
ENSHBUG00000000356	2	44
ENSHBUG00000000357	3	9
ENSHBUG00000000358	3	29
ENSHBUG00000000359	2	48
ENSHBUG00000000360	0	0
ENSHBUG00000000361	18	57
ENSHBUG00000000362	0	0
ENSHBUG00000000363	0	0
ENSHBUG00000000364	1	13
ENSHBUG00000000365	0	0
ENSHBUG00000000366	0	0
ENSHBUG00000000367	0	0
ENSHBUG00000000368	3	19
ENSHBUG00000000369	0	0
ENSHBUG00000000370	0	0
ENSHBUG00000000371	0	0
ENSHBUG00000000372	0	0
ENSHBUG00000000373	0	0
ENSHBUG00000000374	0	0
ENSHBUG00000000375	2	41
ENSHBUG00000000376	4	28
ENSHBUG00000000377	0	0
ENSHBUG00000000378	1	45
ENSHBUG00000000379	2	24
ENSHBUG00000000380	0	0
ENSHBUG00000000381	0	0
ENSHBUG00000000382	0	0
ENSHBUG00000000383	0	0
ENSHBUG00000000384	0	0
ENSHBUG00000000385	0	0
ENSHBUG00000000386	1	25
ENSHBUG00000000387	1	17
ENSHBUG00000000388	2	7
ENSHBUG00000000389	1	42
ENSHBUG00000000390	2	20
ENSHBUG00000000391	0	0
ENSHBUG00000000392	0	0
ENSHBUG00000000393	2	4
ENSHBUG00000000394	0	0
ENSHBUG00000000395	4	45
ENSHBUG00000000396	1	37
ENSHBUG00000000397	1	9
ENSHBUG00000000398	355	391
ENSHBUG00000000399	0	0
ENSHBUG00000000400	0	0
ENSHBUG00000000401	0	0
ENSHBUG00000000402	0	0
ENSHBUG00000000403	4	45
ENSHBUG00000000404	18	26
ENSHBUG00000000405	63	99
ENSHBUG00000000406	1	46
ENSHBUG00000000407	5	42
ENSHBUG00000000408	105	128
ENSHBUG00000000409	0	0
ENSHBUG00000000410	6	21
ENSHBUG00000000411	241	270
ENSHBUG00000000412	3	41
ENSHBUG00000000413	5	24
ENSHBUG00000000414	0	0
