Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000477	0	0
ENSMZEG00005000478	237	42
ENSMZEG00005000479	0	0
ENSMZEG00005000480	141	25
ENSMZEG00005000481	0	0
ENSMZEG00005000482	0	0
ENSMZEG00005000483	297	390
ENSMZEG00005000484	2	1
ENSMZEG00005000485	1	4
ENSMZEG00005000486	0	0
ENSMZEG00005000487	0	1
ENSMZEG00005000488	0	0
ENSMZEG00005000489	0	0
ENSMZEG00005000490	7	2
ENSMZEG00005000491	0	0
ENSMZEG00005000492	4	17
ENSMZEG00005000493	3491	1221
ENSMZEG00005000494	0	0
ENSMZEG00005000495	1	1
ENSMZEG00005000496	0	0
ENSMZEG00005000497	0	1
ENSMZEG00005000498	5	1
ENSMZEG00005000499	0	0
ENSMZEG00005000500	0	0
ENSMZEG00005000501	0	0
ENSMZEG00005000502	1	2
ENSMZEG00005000503	0	0
ENSMZEG00005000504	13	1
ENSMZEG00005000505	22	110
ENSMZEG00005000506	0	1
ENSMZEG00005000507	0	0
ENSMZEG00005000508	0	1
ENSMZEG00005000509	0	0
ENSMZEG00005000510	0	0
ENSMZEG00005000511	2	7
ENSMZEG00005000512	8	26
ENSMZEG00005000513	2	0
ENSMZEG00005000514	0	0
ENSMZEG00005000515	6	13
ENSMZEG00005000516	1	0
ENSMZEG00005000517	15	0
ENSMZEG00005000518	1	5
ENSMZEG00005000519	22	21
ENSMZEG00005000520	1	9
ENSMZEG00005000521	0	0
ENSMZEG00005000522	1	0
ENSMZEG00005000523	0	0
ENSMZEG00005000524	3	8
ENSMZEG00005000525	0	1
ENSMZEG00005000526	0	0
ENSMZEG00005000527	0	0
ENSMZEG00005000528	221	472
ENSMZEG00005000529	5	1
ENSMZEG00005000530	0	2
ENSMZEG00005000531	2	8
ENSMZEG00005000532	0	0
ENSMZEG00005000533	0	0
ENSMZEG00005000534	0	0
ENSMZEG00005000535	21	7
ENSMZEG00005000536	0	0
ENSMZEG00005000537	0	0
ENSMZEG00005000538	1	1
ENSMZEG00005000539	0	1
ENSMZEG00005000540	0	11
ENSMZEG00005000541	0	0
ENSMZEG00005000542	0	0
ENSMZEG00005000543	0	0
ENSMZEG00005000544	1	0
ENSMZEG00005000545	0	1
ENSMZEG00005000546	0	0
ENSMZEG00005000547	0	10
ENSMZEG00005000548	0	0
ENSMZEG00005000549	0	1
ENSMZEG00005000550	230	167
ENSMZEG00005000551	0	0
ENSMZEG00005000552	0	0
ENSMZEG00005000553	0	0
ENSMZEG00005000554	1	8
ENSMZEG00005000555	0	0
ENSMZEG00005000556	0	0
ENSMZEG00005000557	1	0
ENSMZEG00005000558	0	0
ENSMZEG00005000559	38	25
ENSMZEG00005000560	5	4
ENSMZEG00005000561	2	1
ENSMZEG00005000562	0	0
ENSMZEG00005000563	0	0
ENSMZEG00005000564	0	2
ENSMZEG00005000565	0	0
ENSMZEG00005000566	0	0
ENSMZEG00005000567	0	0
ENSMZEG00005000568	0	0
ENSMZEG00005000569	1	0
ENSMZEG00005000570	0	0
ENSMZEG00005000571	0	0
ENSMZEG00005000572	27	32
