Gene	Nb_4_Eye	Nb_5_Eye
ENSNBRG00000000429	0	0
ENSNBRG00000000430	0	0
ENSNBRG00000000431	0	0
ENSNBRG00000000432	0	0
ENSNBRG00000000433	0	0
ENSNBRG00000000434	0	0
ENSNBRG00000000435	0	0
ENSNBRG00000000436	0	0
ENSNBRG00000000437	0	0
ENSNBRG00000000438	0	0
ENSNBRG00000000439	174	188
ENSNBRG00000000440	0	0
ENSNBRG00000000441	0	0
ENSNBRG00000000442	0	0
ENSNBRG00000000443	28	33
ENSNBRG00000000444	0	0
ENSNBRG00000000445	0	0
ENSNBRG00000000446	0	0
ENSNBRG00000000447	0	0
ENSNBRG00000000448	0	0
ENSNBRG00000000449	0	0
ENSNBRG00000000450	0	0
ENSNBRG00000000451	0	0
ENSNBRG00000000452	0	0
ENSNBRG00000000453	0	0
ENSNBRG00000000454	0	0
ENSNBRG00000000455	0	0
ENSNBRG00000000456	32	71
ENSNBRG00000000457	0	0
ENSNBRG00000000458	0	0
ENSNBRG00000000459	0	0
ENSNBRG00000000460	0	0
ENSNBRG00000000461	0	0
ENSNBRG00000000462	0	0
ENSNBRG00000000463	0	0
ENSNBRG00000000464	6	49
ENSNBRG00000000465	0	0
ENSNBRG00000000466	0	0
ENSNBRG00000000467	0	0
ENSNBRG00000000468	0	0
ENSNBRG00000000469	0	0
ENSNBRG00000000470	0	0
ENSNBRG00000000471	0	0
ENSNBRG00000000472	38	65
ENSNBRG00000000473	0	0
ENSNBRG00000000474	0	0
ENSNBRG00000000475	0	0
ENSNBRG00000000476	0	0
ENSNBRG00000000477	0	0
ENSNBRG00000000478	0	0
ENSNBRG00000000479	0	0
ENSNBRG00000000480	0	0
ENSNBRG00000000481	0	0
ENSNBRG00000000482	0	0
ENSNBRG00000000483	0	0
ENSNBRG00000000484	32	39
ENSNBRG00000000485	0	0
ENSNBRG00000000486	0	0
ENSNBRG00000000487	0	0
ENSNBRG00000000488	0	0
ENSNBRG00000000489	0	0
ENSNBRG00000000490	0	0
ENSNBRG00000000491	0	0
ENSNBRG00000000492	0	0
ENSNBRG00000000493	28	47
ENSNBRG00000000494	0	0
ENSNBRG00000000495	0	0
ENSNBRG00000000496	0	0
ENSNBRG00000000497	0	0
ENSNBRG00000000498	0	0
ENSNBRG00000000499	0	0
ENSNBRG00000000500	0	0
ENSNBRG00000000501	0	0
ENSNBRG00000000502	0	0
ENSNBRG00000000503	0	0
ENSNBRG00000000504	0	0
ENSNBRG00000000505	0	0
ENSNBRG00000000506	0	0
ENSNBRG00000000507	0	0
ENSNBRG00000000508	0	0
ENSNBRG00000000509	0	0
ENSNBRG00000000510	0	0
ENSNBRG00000000511	0	0
ENSNBRG00000000512	0	0
ENSNBRG00000000513	0	0
ENSNBRG00000000514	0	0
ENSNBRG00000000515	0	0
ENSNBRG00000000516	0	0
ENSNBRG00000000517	0	0
ENSNBRG00000000518	0	0
ENSNBRG00000000519	0	0
ENSNBRG00000000520	0	0
ENSNBRG00000000521	0	0
ENSNBRG00000000522	0	0
ENSNBRG00000000523	0	0
ENSNBRG00000000524	0	0
ENSNBRG00000000525	0	0
ENSNBRG00000000526	0	0
ENSNBRG00000000527	0	0
ENSNBRG00000000528	0	0
ENSNBRG00000000529	0	0
ENSNBRG00000000530	0	0
ENSNBRG00000000531	0	0
ENSNBRG00000000532	0	0
ENSNBRG00000000533	0	0
ENSNBRG00000000534	0	0
ENSNBRG00000000535	0	0
ENSNBRG00000000536	0	0
ENSNBRG00000000537	0	0
ENSNBRG00000000538	0	0
ENSNBRG00000000539	0	0
ENSNBRG00000000540	0	0
ENSNBRG00000000541	0	0
ENSNBRG00000000542	0	0
ENSNBRG00000000543	0	0
ENSNBRG00000000544	194	237
ENSNBRG00000000545	0	0
ENSNBRG00000000546	0	0
ENSNBRG00000000547	257	300
ENSNBRG00000000548	0	0
ENSNBRG00000000549	0	0
ENSNBRG00000000550	0	0
ENSNBRG00000000551	0	0
ENSNBRG00000000552	0	0
ENSNBRG00000000553	0	0
ENSNBRG00000000554	0	0
ENSNBRG00000000555	0	0
ENSNBRG00000000556	0	0
ENSNBRG00000000557	0	0
ENSNBRG00000000558	0	0
ENSNBRG00000000559	0	0
ENSNBRG00000000560	0	0
ENSNBRG00000000561	0	0
ENSNBRG00000000562	0	0
ENSNBRG00000000563	0	0
ENSNBRG00000000564	0	0
ENSNBRG00000000565	0	0
ENSNBRG00000000566	0	0
ENSNBRG00000000567	0	0
ENSNBRG00000000568	0	0
ENSNBRG00000000569	0	0
ENSNBRG00000000570	0	0
ENSNBRG00000000571	0	0
ENSNBRG00000000572	0	0
ENSNBRG00000000573	0	0
ENSNBRG00000000574	0	0
ENSNBRG00000000575	0	0
ENSNBRG00000000576	0	0
ENSNBRG00000000577	0	0
ENSNBRG00000000578	0	0
ENSNBRG00000000579	1	22
ENSNBRG00000000580	17	36
ENSNBRG00000000581	0	0
ENSNBRG00000000582	0	0
ENSNBRG00000000583	0	0
ENSNBRG00000000584	0	0
ENSNBRG00000000585	0	0
ENSNBRG00000000586	0	0
ENSNBRG00000000587	0	0
ENSNBRG00000000588	0	0
ENSNBRG00000000589	0	0
ENSNBRG00000000590	361	391
ENSNBRG00000000591	0	0
ENSNBRG00000000592	0	0
ENSNBRG00000000593	0	0
ENSNBRG00000000594	0	0
ENSNBRG00000000595	0	0
ENSNBRG00000000596	2	8
ENSNBRG00000000597	0	0
ENSNBRG00000000598	0	0
ENSNBRG00000000599	0	0
ENSNBRG00000000600	0	0
ENSNBRG00000000601	0	0
ENSNBRG00000000602	0	0
ENSNBRG00000000603	0	0
ENSNBRG00000000604	0	0
ENSNBRG00000000605	0	0
ENSNBRG00000000606	0	0
ENSNBRG00000000607	0	0
ENSNBRG00000000608	0	0
ENSNBRG00000000609	0	0
ENSNBRG00000000610	0	0
ENSNBRG00000000611	0	0
ENSNBRG00000000612	0	0
ENSNBRG00000000613	0	0
ENSNBRG00000000614	0	0
ENSNBRG00000000615	0	0
ENSNBRG00000000616	0	0
ENSNBRG00000000617	0	0
ENSNBRG00000000618	0	0
ENSNBRG00000000619	200	213
ENSNBRG00000000620	0	0
ENSNBRG00000000621	0	0
ENSNBRG00000000622	0	0
ENSNBRG00000000623	0	0
ENSNBRG00000000624	0	0
ENSNBRG00000000625	0	0
ENSNBRG00000000626	0	0
ENSNBRG00000000627	0	0
ENSNBRG00000000628	0	0
ENSNBRG00000000629	0	0
ENSNBRG00000000630	0	0
ENSNBRG00000000631	1	12
ENSNBRG00000000632	0	0
ENSNBRG00000000633	0	0
ENSNBRG00000000634	0	0
ENSNBRG00000000635	0	0
ENSNBRG00000000636	18	43
ENSNBRG00000000637	0	0
ENSNBRG00000000638	0	0
ENSNBRG00000000639	0	0
ENSNBRG00000000640	0	0
ENSNBRG00000000641	0	0
ENSNBRG00000000642	0	0
ENSNBRG00000000643	0	0
ENSNBRG00000000644	0	0
ENSNBRG00000000645	0	0
ENSNBRG00000000646	0	0
ENSNBRG00000000647	0	0
ENSNBRG00000000648	1	24
ENSNBRG00000000649	0	0
ENSNBRG00000000650	0	0
ENSNBRG00000000651	0	0
ENSNBRG00000000652	0	0
ENSNBRG00000000653	0	0
ENSNBRG00000000654	0	0
ENSNBRG00000000655	0	0
ENSNBRG00000000656	0	0
ENSNBRG00000000657	0	0
ENSNBRG00000000658	0	0
ENSNBRG00000000659	0	0
ENSNBRG00000000660	0	0
ENSNBRG00000000661	0	0
ENSNBRG00000000662	0	0
ENSNBRG00000000663	0	0
ENSNBRG00000000664	0	0
ENSNBRG00000000665	0	0
ENSNBRG00000000666	0	0
ENSNBRG00000000667	0	0
ENSNBRG00000000668	0	0
ENSNBRG00000000669	0	0
ENSNBRG00000000670	0	0
ENSNBRG00000000671	0	0
ENSNBRG00000000672	0	0
ENSNBRG00000000673	0	0
ENSNBRG00000000674	0	0
ENSNBRG00000000675	0	0
ENSNBRG00000000676	0	0
ENSNBRG00000000677	0	0
ENSNBRG00000000678	43	55
ENSNBRG00000000679	0	0
ENSNBRG00000000680	0	0
ENSNBRG00000000681	0	0
ENSNBRG00000000682	0	0
ENSNBRG00000000683	0	0
ENSNBRG00000000684	0	0
ENSNBRG00000000685	0	0
ENSNBRG00000000686	0	0
ENSNBRG00000000687	0	0
ENSNBRG00000000688	0	0
ENSNBRG00000000689	0	0
ENSNBRG00000000690	0	0
ENSNBRG00000000691	0	0
ENSNBRG00000000692	0	0
ENSNBRG00000000693	0	0
ENSNBRG00000000694	0	0
ENSNBRG00000000695	0	0
ENSNBRG00000000696	0	0
ENSNBRG00000000697	0	0
ENSNBRG00000000698	0	0
ENSNBRG00000000699	0	0
ENSNBRG00000000700	0	0
ENSNBRG00000000701	0	0
ENSNBRG00000000702	0	0
ENSNBRG00000000703	0	0
ENSNBRG00000000704	0	0
ENSNBRG00000000705	0	0
ENSNBRG00000000706	0	0
ENSNBRG00000000707	0	0
ENSNBRG00000000708	0	0
ENSNBRG00000000709	0	0
ENSNBRG00000000710	0	0
ENSNBRG00000000711	0	0
ENSNBRG00000000712	0	0
ENSNBRG00000000713	0	0
ENSNBRG00000000714	0	0
ENSNBRG00000000715	0	0
ENSNBRG00000000716	0	0
ENSNBRG00000000717	0	0
ENSNBRG00000000718	0	0
ENSNBRG00000000719	22	45
ENSNBRG00000000720	0	0
ENSNBRG00000000721	0	0
ENSNBRG00000000722	0	0
ENSNBRG00000000723	0	0
ENSNBRG00000000724	0	0
ENSNBRG00000000725	76	99
ENSNBRG00000000726	0	0
ENSNBRG00000000727	0	0
ENSNBRG00000000728	0	0
ENSNBRG00000000729	0	0
ENSNBRG00000000730	0	0
ENSNBRG00000000731	0	0
ENSNBRG00000000732	0	0
ENSNBRG00000000733	0	0
ENSNBRG00000000734	0	0
ENSNBRG00000000735	0	0
ENSNBRG00000000736	0	0
ENSNBRG00000000737	0	0
ENSNBRG00000000738	0	0
ENSNBRG00000000739	0	0
ENSNBRG00000000740	0	0
ENSNBRG00000000741	0	0
ENSNBRG00000000742	0	0
ENSNBRG00000000743	0	0
ENSNBRG00000000744	0	0
ENSNBRG00000000745	27	55
ENSNBRG00000000746	0	0
ENSNBRG00000000747	0	0
ENSNBRG00000000748	0	0
ENSNBRG00000000749	0	0
ENSNBRG00000000750	123	159
ENSNBRG00000000751	0	0
ENSNBRG00000000752	0	0
ENSNBRG00000000753	0	0
ENSNBRG00000000754	102	103
ENSNBRG00000000755	0	0
ENSNBRG00000000756	0	0
ENSNBRG00000000757	0	0
ENSNBRG00000000758	0	0
ENSNBRG00000000759	0	0
ENSNBRG00000000760	0	0
ENSNBRG00000000761	0	0
ENSNBRG00000000762	0	0
ENSNBRG00000000763	0	0
ENSNBRG00000000764	0	0
ENSNBRG00000000765	0	0
ENSNBRG00000000766	0	0
ENSNBRG00000000767	0	0
ENSNBRG00000000768	46	48
ENSNBRG00000000769	0	0
ENSNBRG00000000770	33	37
ENSNBRG00000000771	3	23
ENSNBRG00000000772	0	0
ENSNBRG00000000773	0	0
ENSNBRG00000000774	0	0
ENSNBRG00000000775	49	65
ENSNBRG00000000776	0	0
ENSNBRG00000000777	0	0
ENSNBRG00000000778	0	0
ENSNBRG00000000779	0	0
ENSNBRG00000000780	0	0
ENSNBRG00000000781	0	0
ENSNBRG00000000782	0	0
ENSNBRG00000000783	0	0
ENSNBRG00000000784	0	0
ENSNBRG00000000785	35	42
ENSNBRG00000000786	0	0
ENSNBRG00000000787	0	0
ENSNBRG00000000788	0	0
ENSNBRG00000000789	1	21
ENSNBRG00000000790	0	0
ENSNBRG00000000791	0	0
ENSNBRG00000000792	0	0
ENSNBRG00000000793	0	0
ENSNBRG00000000794	0	0
ENSNBRG00000000795	0	0
ENSNBRG00000000796	0	0
ENSNBRG00000000797	0	0
ENSNBRG00000000798	0	0
ENSNBRG00000000799	23	40
ENSNBRG00000000800	0	0
ENSNBRG00000000801	0	0
ENSNBRG00000000802	0	0
ENSNBRG00000000803	0	0
ENSNBRG00000000804	0	0
ENSNBRG00000000805	0	0
ENSNBRG00000000806	0	0
ENSNBRG00000000807	0	0
ENSNBRG00000000808	0	0
ENSNBRG00000000809	0	0
ENSNBRG00000000810	5	28
ENSNBRG00000000811	0	0
ENSNBRG00000000812	0	0
ENSNBRG00000000813	0	0
ENSNBRG00000000814	0	0
ENSNBRG00000000815	0	0
ENSNBRG00000000816	0	0
ENSNBRG00000000817	0	0
ENSNBRG00000000818	0	0
ENSNBRG00000000819	0	0
ENSNBRG00000000820	0	0
ENSNBRG00000000821	0	0
ENSNBRG00000000822	0	0
ENSNBRG00000000823	0	0
ENSNBRG00000000824	0	0
ENSNBRG00000000825	0	0
ENSNBRG00000000826	0	0
ENSNBRG00000000827	0	0
ENSNBRG00000000828	0	0
ENSNBRG00000000829	0	0
ENSNBRG00000000830	0	0
ENSNBRG00000000831	10	12
ENSNBRG00000000832	0	0
ENSNBRG00000000833	0	0
ENSNBRG00000000834	0	0
ENSNBRG00000000835	0	0
ENSNBRG00000000836	0	0
ENSNBRG00000000837	0	0
ENSNBRG00000000838	0	0
ENSNBRG00000000839	0	0
ENSNBRG00000000840	0	0
ENSNBRG00000000841	0	0
ENSNBRG00000000842	0	0
ENSNBRG00000000843	101	128
ENSNBRG00000000844	0	0
ENSNBRG00000000845	0	0
ENSNBRG00000000846	0	0
ENSNBRG00000000847	0	0
ENSNBRG00000000848	0	0
ENSNBRG00000000849	0	0
ENSNBRG00000000850	0	0
ENSNBRG00000000851	0	0
ENSNBRG00000000852	0	0
ENSNBRG00000000853	0	0
ENSNBRG00000000854	0	0
ENSNBRG00000000855	0	0
ENSNBRG00000000856	0	0
ENSNBRG00000000857	38	52
ENSNBRG00000000858	0	0
ENSNBRG00000000859	0	0
ENSNBRG00000000860	0	0
ENSNBRG00000000861	0	0
ENSNBRG00000000862	0	0
ENSNBRG00000000863	0	0
ENSNBRG00000000864	14	48
ENSNBRG00000000865	0	0
ENSNBRG00000000866	0	0
ENSNBRG00000000867	0	0
ENSNBRG00000000868	18	37
ENSNBRG00000000869	0	0
