Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000510	2	5	57
ENSONIG00000000511	0	0	9
ENSONIG00000000512	0	0	3
ENSONIG00000000513	2	1	42
ENSONIG00000000514	0	0	23
ENSONIG00000000515	6	0	51
ENSONIG00000000516	60	5	81
ENSONIG00000000517	1	3	9
ENSONIG00000000518	1	0	7
ENSONIG00000000520	0	0	46
ENSONIG00000000521	0	4	33
ENSONIG00000000522	0	0	8
ENSONIG00000000523	3	2	41
ENSONIG00000000526	0	0	0
ENSONIG00000000527	0	0	33
ENSONIG00000000528	0	1	23
ENSONIG00000000529	1	0	13
ENSONIG00000000530	0	0	0
ENSONIG00000000531	357	151	216
ENSONIG00000000533	0	0	4
ENSONIG00000000534	13	8	121
ENSONIG00000000536	9	2	9
ENSONIG00000000537	1	0	0
ENSONIG00000000538	2	1	21
ENSONIG00000000539	4	0	3
ENSONIG00000000541	52	11	17
ENSONIG00000000542	15	13	75
ENSONIG00000000543	7	0	2
ENSONIG00000000544	39	12	26
ENSONIG00000000545	6	0	0
ENSONIG00000000546	0	1	10
ENSONIG00000000547	1	0	6
ENSONIG00000000548	0	0	1
ENSONIG00000000549	2	0	0
ENSONIG00000000550	1	0	5
ENSONIG00000000551	123	2	5
ENSONIG00000000552	0	1	3
ENSONIG00000000553	3	0	36
ENSONIG00000000554	1	5	6
ENSONIG00000000555	7	7	22
ENSONIG00000000556	0	0	10
ENSONIG00000000558	1	1	23
ENSONIG00000000561	265	16	16
ENSONIG00000000562	5	0	0
ENSONIG00000000563	32	25	20
ENSONIG00000000564	5	0	0
ENSONIG00000000565	1	4	19
ENSONIG00000000568	2	4	15
ENSONIG00000000569	4	1	39
ENSONIG00000000570	3	1	10
ENSONIG00000000571	1	2	28
ENSONIG00000000572	9	3	10
ENSONIG00000000573	3	0	1
ENSONIG00000000574	5	0	11
ENSONIG00000000575	2	2	33
ENSONIG00000000576	0	0	0
ENSONIG00000000577	1	15	225
ENSONIG00000000578	0	0	0
ENSONIG00000000579	0	0	5
ENSONIG00000000581	8	0	9
ENSONIG00000000582	45	6	5
ENSONIG00000000583	13	0	22
ENSONIG00000000584	585	18	25
ENSONIG00000000585	1	2	13
ENSONIG00000000586	39	80	124
ENSONIG00000000587	1	1	4
ENSONIG00000000588	0	0	17
ENSONIG00000000590	4	6	55
ENSONIG00000000592	0	1	0
ENSONIG00000000594	2	1	10
ENSONIG00000000595	3	0	1
ENSONIG00000000596	0	0	35
ENSONIG00000000597	1	0	2
ENSONIG00000000598	3	1	24
ENSONIG00000000599	1	0	0
ENSONIG00000000600	0	1	0
ENSONIG00000000601	0	0	4
ENSONIG00000000602	0	0	2
ENSONIG00000000603	19	10	20
ENSONIG00000000604	1	1	4
ENSONIG00000000605	0	0	1
ENSONIG00000000606	18	12	311
ENSONIG00000000609	5	4	26
ENSONIG00000000610	1	1	9
ENSONIG00000000612	9193	22779	56402
ENSONIG00000000613	442	79	103
ENSONIG00000000614	0	0	9
ENSONIG00000000616	4	5	32
